"timestamp","catalogVersion","platformVersion","fileName","ratio","section","status","priority","sourceExists","action","corePath","allPath","futurePath","devIncomingPath","description"
"2026-06-06T15:34:05","P4C-WMS-V1.0","P4C-WMS-V1.0","homepage_paradigm_shift_hero.webp","16:9","Homepage","CREATED","HIGH","True","SKIPPED_EXISTS","M:\Mi unidad\devweb\pro4chem-site\public\images\core\homepage_paradigm_shift_hero.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\v21\all\homepage_paradigm_shift_hero.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\future\homepage_paradigm_shift_hero.webp","M:\Mi unidad\devweb\pro4chem-dev\public\images\incoming\v21\homepage_paradigm_shift_hero.webp","Female senior R&D chemist in dark premium lab at glass molecular design whiteboard; AI neural-network chemistry monitors; cyan task lighting; Pro4Chem logo integrated."
"2026-06-06T15:34:05","P4C-WMS-V1.0","P4C-WMS-V1.0","green_bridge_homepage.webp","16:9","Homepage","CREATED","HIGH","True","SKIPPED_EXISTS","M:\Mi unidad\devweb\pro4chem-site\public\images\core\green_bridge_homepage.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\v21\all\green_bridge_homepage.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\future\green_bridge_homepage.webp","M:\Mi unidad\devweb\pro4chem-dev\public\images\incoming\v21\green_bridge_homepage.webp","Split-scene technology migration: legacy solvent drums on left, modern waterborne lab on right; male industrial formulator; cyan-lit dispersions."
"2026-06-06T15:34:05","P4C-WMS-V1.0","P4C-WMS-V1.0","ai_dfss_research_team.webp","16:9","About","NEW","","False","SKIPPED","M:\Mi unidad\devweb\pro4chem-site\public\images\core\ai_dfss_research_team.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\v21\all\ai_dfss_research_team.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\future\ai_dfss_research_team.webp","M:\Mi unidad\devweb\pro4chem-dev\public\images\incoming\v21\ai_dfss_research_team.webp","AI-driven chemical research lab; female AI formulation scientist interacting with curved neural-network optimization monitor; cyan glow."
"2026-06-06T15:34:05","P4C-WMS-V1.0","P4C-WMS-V1.0","quality_testing_certification.webp","16:9","About","NEW","","False","SKIPPED","M:\Mi unidad\devweb\pro4chem-site\public\images\core\quality_testing_certification.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\v21\all\quality_testing_certification.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\future\quality_testing_certification.webp","M:\Mi unidad\devweb\pro4chem-dev\public\images\incoming\v21\quality_testing_certification.webp","Quality testing lab; male senior quality engineer validating glossy test panels; gloss meter shows 97 GU."
"2026-06-06T15:34:05","P4C-WMS-V1.0","P4C-WMS-V1.0","biosustainability_pillar.webp","16:9","About","CREATED","","True","SKIPPED_EXISTS","M:\Mi unidad\devweb\pro4chem-site\public\images\core\biosustainability_pillar.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\v21\all\biosustainability_pillar.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\future\biosustainability_pillar.webp","M:\Mi unidad\devweb\pro4chem-dev\public\images\incoming\v21\biosustainability_pillar.webp","Sustainable chemistry lab; female sustainability chemist examining waterbased biobased polymer dispersion; emerald green accent and molecular ring overlay."
"2026-06-06T15:34:05","P4C-WMS-V1.0","P4C-WMS-V1.0","ferraxyl_landing_header.webp","16:9","Series 3000 VeloXyl","CREATED","HIGH","True","SKIPPED_EXISTS","M:\Mi unidad\devweb\pro4chem-site\public\images\core\ferraxyl_landing_header.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\v21\all\ferraxyl_landing_header.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\future\ferraxyl_landing_header.webp","M:\Mi unidad\devweb\pro4chem-dev\public\images\incoming\v21\ferraxyl_landing_header.webp","Industrial bridge maintenance engineer spraying steel beam; rust transitions to clean high-gloss black surface; cyan passivation glow; FerraXyl text."
"2026-06-06T15:34:05","P4C-WMS-V1.0","P4C-WMS-V1.0","xeloxyl_landing_header.webp","16:9","Series 3000 VeloXyl","CREATED","HIGH","True","SKIPPED_EXISTS","M:\Mi unidad\devweb\pro4chem-site\public\images\core\xeloxyl_landing_header.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\v21\all\xeloxyl_landing_header.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\future\xeloxyl_landing_header.webp","M:\Mi unidad\devweb\pro4chem-dev\public\images\incoming\v21\xeloxyl_landing_header.webp","Wood coating spray booth; female technician applying clear sealer to furniture panels; mirror finish; XeloXyl text."
"2026-06-06T15:34:05","P4C-WMS-V1.0","P4C-WMS-V1.0","luxyl_landing_header.webp","16:9","Series 3000 VeloXyl","CREATED","HIGH","True","SKIPPED_EXISTS","M:\Mi unidad\devweb\pro4chem-site\public\images\core\luxyl_landing_header.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\v21\all\luxyl_landing_header.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\future\luxyl_landing_header.webp","M:\Mi unidad\devweb\pro4chem-dev\public\images\incoming\v21\luxyl_landing_header.webp","Coastal industrial site; male inspector examining glossy steel with water beading; LuXyl text and cyan ambient glow."
"2026-06-06T15:34:05","P4C-WMS-V1.0","P4C-WMS-V1.0","xeloxyl_vs_nitrocellulose.webp","16:9","Series 3000 VeloXyl","NEW","","False","SKIPPED","M:\Mi unidad\devweb\pro4chem-site\public\images\core\xeloxyl_vs_nitrocellulose.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\v21\all\xeloxyl_vs_nitrocellulose.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\future\xeloxyl_vs_nitrocellulose.webp","M:\Mi unidad\devweb\pro4chem-dev\public\images\incoming\v21\xeloxyl_vs_nitrocellulose.webp","Split comparison in QA lab: yellowed nitrocellulose panel vs water-white XeloXyl mirror panel."
"2026-06-06T15:34:05","P4C-WMS-V1.0","P4C-WMS-V1.0","heliozol_landing_header.webp","16:9","Series 6000 HelioZol","NEW","","False","SKIPPED","M:\Mi unidad\devweb\pro4chem-site\public\images\core\heliozol_landing_header.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\v21\all\heliozol_landing_header.webp","M:\Mi unidad\devweb\pro4chem-site\public\images\future\heliozol_landing_header.webp","M:\Mi unidad\devweb\pro4chem-dev\public\images\incoming\v21\heliozol_landing_header.webp","Advanced waterborne chemical lab; female chemist before crystal-clear surfactant-free dispersions; HelioZol text."
